Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
land_reform_two;Title and Deed System;;;;;;;;;;;;;
land_reform_two_desc;The state guarantees private property and land development rights;;;;;;;;;;;;;
admin_reform_two;Westernised Civil Service;;;;;;;;;;;;;
admin_reform_two_desc;The national administration is now run by western-educated bureaucrats;;;;;;;;;;;;;
education_reform_two;Universities;;;;;;;;;;;;;
education_reform_two_desc;Western-style schools of higher learning are established;;;;;;;;;;;;;
transport_improv_two;Advanced Railroads;;;;;;;;;;;;;
transport_improv_two_desc;Our transportation system can move people and goods as never before!;;;;;;;;;;;;;
no_western_science;Traditional Learning;;;;;;;;;;;;;
no_western_science_desc;We rely on the old ideas;;;;;;;;;;;;;
yes_western_science;Basic Western Learning;;;;;;;;;;;;;
yes_western_science_desc;We send our students to learn foreign ideas in science from the West;;;;;;;;;;;;;
western_science_two;Scientific Research;;;;;;;;;;;;;
western_science_two_desc;We promote research into scientific and economic theories in our schools;;;;;;;;;;;;;
admin_reform;Legislative Reform;;;;;;;;;;;;;
admin_reform_l;Legislative Reform;;;;;;;;;;;;;
no_admin_reform;No Legislative Reform;;;;;;;;;;;;;
yes_admin_reform;Legislative Reform;;;;;;;;;;;;;
no_admin_reform_desc;No Legislative Reform. The country bureaucracy works like the old days, if it exists at all.;;;;;;;;;;;;;
yes_admin_reform_desc;Our legislature is now modern and efficient.;;;;;;;;;;;;;
finance_reform;Financial Reform;;;;;;;;;;;;;
finance_reform_l;Financial Reform;;;;;;;;;;;;;
no_finance_reform;No Financial Reform;;;;;;;;;;;;;
yes_finance_reform;Enact Financial Reform;;;;;;;;;;;;;
finance_reform_two;International Debt;;;;;;;;;;;;;
no_finance_reform_desc;Our financial institutions and economy is run like the old days.;;;;;;;;;;;;;
yes_finance_reform_desc;We started to modernize our financial institutions.;;;;;;;;;;;;;
finance_reform_two_desc;We modernized a great part of our financial institutions and now we can borrow money from other nations.;;;;;;;;;;;;;
education_reform;Basic Education;;;;;;;;;;;;;
education_reform_l;Basic Education;;;;;;;;;;;;;
no_education_reform;No Education Reform;;;;;;;;;;;;;
yes_education_reform;Reformed System;;;;;;;;;;;;;
no_education_reform_desc;Our country doesn't have schools and education is largely disorganized.;;;;;;;;;;;;;
yes_education_reform_desc;A basic organized education system is now present in our country;;;;;;;;;;;;;
transport_improv;Transportation;;;;;;;;;;;;;
transport_improv_l;Transportation;;;;;;;;;;;;;
no_transport_improv;Not Improved;;;;;;;;;;;;;
yes_transport_improv;Improved;;;;;;;;;;;;;
no_transport_improv_desc;The transportation system is primitive.;;;;;;;;;;;;;
yes_transport_improv_desc;The transportation system is being modernized. At least in the capital.;;;;;;;;;;;;;
pre_indust;Organization;;;;;;;;;;;;;
pre_indust_l;Industrialisation;;;;;;;;;;;;;
no_pre_indust;Stick to the Old Ways;;;;;;;;;;;;;
yes_pre_indust;Industrial Progress;;;;;;;;;;;;;
no_pre_indust_desc;We have no need of industry.;;;;;;;;;;;;;
yes_pre_indust_desc;Construct some basic factories with the help of foreign advisors. Could this be the beginning of an industrial revolution?;;;;;;;;;;;;;
industrial_construction;Machinery;;;;;;;;;;;;;
industrial_construction_l;Machinery;;;;;;;;;;;;;
no_industrial_construction;No Machinery;;;;;;;;;;;;;
yes_industrial_construction;Simple Machinery;;;;;;;;;;;;;
no_industrial_construction_desc;No Simple Machinery is beeing used.;;;;;;;;;;;;;
yes_industrial_construction_desc;Simple Machinery is beeing used.;;;;;;;;;;;;;
industrial_construction_two;Advanced Machinery;;;;;;;;;;;;;
industrial_construction_two_desc;We have implemented Machinery;;;;;;;;;;;;;
firearms_production;Steam Power;;;;;;;;;;;;;
firearms_production_l;Steam Power;;;;;;;;;;;;;
no_firearms_production;No Steam Power;;;;;;;;;;;;;
no_firearms_production_l;No Steam Power;;;;;;;;;;;;;
no_firearms_production_desc;We aren't using Steam Power;;;;;;;;;;;;;
yes_firearms_production;Simple Steam Engines;;;;;;;;;;;;;
yes_firearms_production_l;Simple Steam Engines;;;;;;;;;;;;;
yes_firearms_production_desc;Advancements are being made.;;;;;;;;;;;;;
firearms_production_two;Advanced Steam Engines;;;;;;;;;;;;;
firearms_production_two_desc;We have implemented Advanced Steam Engines;;;;;;;;;;;;;
foreign_artillery;Foreign Artillery;;;;;;;;;;;;;
foreign_artillery_l;Foreign Artillery;;;;;;;;;;;;;
foreign_artillery_two;Advanced Foreign Artillery;;;;;;;;;;;;;
foreign_artillery_two_desc;Our imported Artillery is superb.;;;;;;;;;;;;;
no_foreign_artillery;Local Artillery;;;;;;;;;;;;;
no_foreign_artillery_l;Local Artillery;;;;;;;;;;;;;
no_foreign_artillery_desc;Artillery is made up of ineffective siege equipment or it's not present at all.;;;;;;;;;;;;;
yes_foreign_artillery;Imported Artillery;;;;;;;;;;;;;
yes_foreign_artillery_l;Imported Artillery;;;;;;;;;;;;;
yes_foreign_artillery_desc;Our artillery is imported from western powers.;;;;;;;;;;;;;
foreign_officers;Officer Training;;;;;;;;;;;;;
foreign_officers_l;Officer Training;;;;;;;;;;;;;
no_foreign_officers;Local Officer Training;;;;;;;;;;;;;
yes_foreign_officers;Foreign Officer Training;;;;;;;;;;;;;
no_foreign_officers_desc;Local officers lead our troops and are trained in our traditional ways.;;;;;;;;;;;;;
yes_foreign_officers_desc;Our troops are now trained, assisted and sometimes led by foreign officers.;;;;;;;;;;;;;
army_schools;Army Training;;;;;;;;;;;;;
army_schools_l;Army Training;;;;;;;;;;;;;
no_army_schools;Ad Hoc;;;;;;;;;;;;;
yes_army_schools;Army Schools;;;;;;;;;;;;;
no_army_schools_desc;We learn on the field of battle.;;;;;;;;;;;;;
yes_army_schools_desc;Officers are trained in professional army academies before leading men into battle.;;;;;;;;;;;;;
foreign_naval_officers;Naval Officers;;;;;;;;;;;;;
foreign_naval_officers_l;Naval Officers;;;;;;;;;;;;;
no_foreign_naval_officers;Local Naval Officers;;;;;;;;;;;;;
yes_foreign_naval_officers;Foreign Naval Officers;;;;;;;;;;;;;
no_foreign_naval_officers_desc;Local officers command our ships.;;;;;;;;;;;;;
yes_foreign_naval_officers_desc;Foreign officers advise our captains.;;;;;;;;;;;;;
naval_schools;Naval Training;;;;;;;;;;;;;
naval_schools_l;Naval Training;;;;;;;;;;;;;
no_naval_schools;Ad Hoc;;;;;;;;;;;;;
yes_naval_schools;Navy Schools;;;;;;;;;;;;;
no_naval_schools_desc;Our naval officers are trained in the field of battler or knowledge is transmitted informally.;;;;;;;;;;;;;
yes_naval_schools_desc;Our naval officers are trained in special naval academies and are taught by foreigners in the arts of naval warfare.;;;;;;;;;;;;;
foreign_navies;Foreign Ships;;;;;;;;;;;;;
foreign_navies_l;Foreign Ships;;;;;;;;;;;;;
no_foreign_navies;Locally Produced Ships;;;;;;;;;;;;;
yes_foreign_navies;Imported Ships;;;;;;;;;;;;;
no_foreign_navies_desc;Locally manufactured ships.;;;;;;;;;;;;;
yes_foreign_navies_desc;We import strong ships designs from the west.;;;;;;;;;;;;;
foreign_training;Training Methods;;;;;;;;;;;;;
foreign_training_l;Training Methods;;;;;;;;;;;;;
no_foreign_training;Local Training Methods;;;;;;;;;;;;;
yes_foreign_training;Foreign Training Methods;;;;;;;;;;;;;
no_foreign_training_desc;Troops are trained in the traditional manner.;;;;;;;;;;;;;
yes_foreign_training_desc;Troops trained by foreign military advisors or using foreign techniques.;;;;;;;;;;;;;
foreign_weapons;Foreign Weapons;;;;;;;;;;;;;
foreign_weapons_l;Foreign Weapons;;;;;;;;;;;;;
no_foreign_weapons;Local Weapons;;;;;;;;;;;;;
yes_foreign_weapons;Imported Weapons;;;;;;;;;;;;;
no_foreign_weapons_desc;Traditional weapons are used in our armies.;;;;;;;;;;;;;
yes_foreign_weapons_desc;This is my BOOMSTICK!;;;;;;;;;;;;;
military_constructions;Fortification;;;;;;;;;;;;;
military_constructions_l;Fortification;;;;;;;;;;;;;
no_military_constructions;Archaic Fortification;;;;;;;;;;;;;
yes_military_constructions;Modern Fortification;;;;;;;;;;;;;
