Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV901;Hasakh;;;;;;;;;;;;;
PROV3276;Dayr al-Zour;;;;;;;;;;;;;
PROV3277;al-Zubayr;;;;;;;;;;;;;
PROV3278;Lar;;;;;;;;;;;;;
PROV3279;Panjdeh;;;;;;;;;;;;;
PROV3280;Kara Kum;;;;;;;;;;;;;
PROV3281;Ghurian;;;;;;;;;;;;;
PROV3282;Qaleh-ye Kah;;;;;;;;;;;;;
PROV3283;Zabol;;;;;;;;;;;;;
PROV3284;Zaranj;;;;;;;;;;;;;
PROV3285;Panjgur;;;;;;;;;;;;;
PROV3286;Turbat;;;;;;;;;;;;;
PROV3287;Jasliq;;;;;;;;;;;;;
PROV3288;Qaleh Ganj;;;;;;;;;;;;;
PROV3289;Saqqiz;;;;;;;;;;;;;
PROV3290;Quchan;;;;;;;;;;;;;
PROV3291;Ghaen;;;;;;;;;;;;;
PROV3292;Tabas;;;;;;;;;;;;;
PROV3293;Faraj;;;;;;;;;;;;;
PROV1144;Dozdab;;;;;;;;;;;;;
PROV3294;Maymana;;;;;;;;;;;;;
PROV3295;Ghor;;;;;;;;;;;;;
PROV3296;Shela;;;;;;;;;;;;;
PER_1140;Kerman-Balochistan;;;;;;;;;;;;;
AFG_1215;Dasht-e Margo;;;;;;;;;;;;;
AFG_1212;Herat;;;;;;;;;;;;;
RUS_1102;Shirvan-Aran;;;;;;;;;;;;;
PER_1112;Azerbaijan;;;;;;;;;;;;;
PER_1148;Kohistan;;;;;;;;;;;;;
PER_1147;Khorasan;;;;;;;;;;;;;
hazara;Caspian;;;;;;;;;;;;;
north_caucasian;Ossetian;;;;;;;;;;;;;
DZD;Dozdab;;;;;;;;;;;;;
DZD_ADJ;Dozdabi;;;;;;;;;;;;;
KUN;Kunduz;;;;;;;;;;;;;
KUN_ADJ;Kunduzi;;;;;;;;;;;;;
BDK;Badakhshan;;;;;;;;;;;;;
BDK_absolute_monarchy;Badakhshan;;;;;;;;;;;;;
BDK_ADJ;Badakhshani;;;;;;;;;;;;;
PER;Iran;;;;;;;;;;;;;
PER_ADJ;Iranian;;;;;;;;;;;;;
PER_absolute_monarchy;Qajar Empire;;;;;;;;;;;;;
PER_absolute_monarchy_ADJ;Iranian;;;;;;;;;;;;;
regain_omani_coast_title;Reclaim the Strait of Hormuz;;;;;;;;;;;;;
regain_omani_coast_desc;The powerful, maritime Sultanate of Muscat-Oman under the capable rule of the Bu-Sa'id dynasty, had managed to occupy much of the coastal lands around the Persian Gulf and the Northwest Indian Ocean, all the way to Zanzibar by the mid 1850s. These included ports, islands and coastal regions of Baluchistan, Strait of Hormuz and Laristan on the Iranian side of the Gulf of Oman and the Persian Gulf. These annexations were afforded to Oman during the chaos that ruled Iran in it's transitional period between the Zand and the Qajar dynasties, which was followed immediately by the continuous military campaign by Iran defending itself against the imperial Russian and British forces in the north and the east.\n\nWith the stabilization of our relationship with the Russians and the British, we are now in a position to begin the reoccupation of our rightful ports, coastal areas and Island lost to Oman over the years.;;;;;;;;;;;;;
nullify_turkmanchay_gulistan_title;Nullify Turkmanchay and Gulistan;;;;;;;;;;;;;
nullify_turkmanchay_gulistan_desc;The Treaties of Turkmanchay and Gulistan were not only a humiliating defeat, but it was also emotional devastating. The loss of Aran, Shirvan and Erivan seperated the Iranian Shiites and the treatment of Azeris within Russia didn't help. However, in the last decades we've made tremendous scientific progress and our armies are once again modernised!;;;;;;;;;;;;;
EVTDESC110086;After a long and bloody conflict the Iranians, against all odds, were able to defeat the Russians and pushed them out of Transcaucasia and Daghestan. Following the Russian surrender the Qajars demanded all of their old claims, that previously were given up in the Treaties of Turkmanchy and Gulistan. Now a new Treaty was signed, heavily favouring Iran and pushing the new border all the way up to the Terek River, seperating Chechnya.;;;;;;;;;;;;;
