Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
mulatto;Mulâtres;;;;;;;;;;;;;
afro_antillean;Afro-Français;;;;;;;;;;;;;
afro_caribeno;Afro-Latino;;;;;;;;;;;;;
afro_caribbean;Afro-Caribbean;;;;;;;;;;;;;
french_canadian;Canadiens-Français;;;;;;;;;;;;;
EVTNAME45107;Haiti Fails to Honour its Debts;;;;;;;;;;;;;
EVTDESC45107;Haitian legacy of debt began shortly after gaining independence from France in 1804. In 1825, France, with warships at the ready, demanded Haiti compensate France for its loss of slaves and its slave colony. In exchange for French recognition of Haiti as a sovereign republic, France demanded payment of 150 million francs. In addition to the payment, France required that Haiti discount its exported goods to them by 50%. In $YEAR$, France agreed to reduce the debt to 90 million francs (500,000Â¤) to be paid over a period of 30 years to compensate former plantation owners who had lost their property. Haiti, however, still refuses to pay what is owed to us and will not do so unless we use force.;;;;;;;;;;;;;
EVT45107OPTA;We will take what is owed to us.;;;;;;;;;;;;;
EVT45107OPTB;To safeguard French assets, the Haitian government must be controlled.;;;;;;;;;;;;;
EVT45107OPTC;Clearly, the Haitians are not fit to rule themselves.;;;;;;;;;;;;;
EVT45107OPTD;They are not worth our time.;;;;;;;;;;;;;
EVTNAME45106;Haiti's Debts to France;;;;;;;;;;;;;
EVTDESC45106;Haitian legacy of debt began shortly after gaining independence from France in 1804. In 1825, France, with warships at the ready, demanded Haiti compensate France for its loss of slaves and its slave colony. In exchange for French recognition of Haiti as a sovereign republic, France demanded payment of 150 million francs. In addition to the payment, France required that Haiti discount its exported goods to them by 50%. In $YEAR$, France agreed to reduce the debt to 90 million francs to be paid over a period of 30 years to compensate former plantation owners who had lost their property. This is the best deal we can get, and refusing to honour our debt will likely result in French intervention.;;;;;;;;;;;;;
fra_reps_title;Demand Haitian Reparations;;;;;;;;;;;;;
EVT45106OPTA;We must honour our agreements.§R(Pay or owe 500,000¤)§W;;;;;;;;;;;;;
