Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
welsh;Welsh;;;;;;;;;;;;;
scottish;Scottish;;;;;;;;;;;;;
wallonian;Walloon;;;;;;;;;;;;;
montenegrin;Montenegrin;;;;;;;;;;;;;
faroese;Faroese;;;;;;;;;;;;;
galician;Galician;;;;;;;;;;;;;
volga_german;Eastern German;;;;;;;;;;;;;
arpitan;Arpitan;;;;;;;;;;;;;
leonese;Leonese;;;;;;;;;;;;;
hanhui;Hui;;;;;;;;;;;;;
siebenburger;Transylvanian-Saxon;;;;;;;;;;;;;
jerriais;Jerriais;;;;;;;;;;;;;
anglo_canadian;Anglo-Canadian;Anglo-canadien;Anglokanadisch;;Anglocanadiense;;;;;;;;;
anglo_indian;Anglo-Indian;;;;;;;;;;;;;
british;English;Britannique;Britisch;;Brit嫕ica;;;;;;;;;
pan_french_nationalism;Pan-French Nationalism;;;;;;;;;;;;;
