Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
trench_systems;Trench Systems;;;;;;;;;;;;;
chemical_weapons;Chemical Weapons;;;;;;;;;;;;;
counter_battery_fire;Counter-Battery Fire;;;;;;;;;;;;;
counter_battery_fire_desc;Counter-battery fire is a battlefield military activity to defeat the enemy's indirect fire elements, including their target acquisition, command and control components.;;;;;;;;;;;;;
creeping_barrage;Creeping Barrage;;;;;;;;;;;;;
creeping_barrage_desc;A creeping barrage was a barrage that lifted in small increments, usually 100 yards every few minutes, so that it moved forward slowly, keeping pace with the infantry. Eventually, three patterns of advancing the barrage developed. In a creeping barrage, fire moved from one line to the next. In a block barrage, the 'block' moved as block to the next lines that were not previously engaged. In a rolling barrage, the fire on the line nearest to own troops moved to the first unengaged line furthest from own troops.;;;;;;;;;;;;;
railway_gun;Railway Gun;;;;;;;;;;;;;
barrel_experiments;Tank Experiments;;;;;;;;;;;;;
combined_arms_experiments;Combined Arms Experiments;;;;;;;;;;;;;
medium_tank;Medium Tank;;;;;;;;;;;;;
medium_tank_desc;The role of medium tanks started with a prioritisation of speed. Medium tanks could travel faster, but needed help to cross trenches, where heavy tanks were large enough to cross unaided. In this later use, medium tanks represent the designer's intent of producing a successful balance of firepower, mobility, and protection. Medium tanks aim to be suitable to the widest variety of roles, with less reliance on other types of tank during normal operations.;;;;;;;;;;;;;
total_war_philosophy;Total War Philosophy;;;;;;;;;;;;;
early_modern_naval_doctrine;Early Modern Naval Doctrine;;;;;;;;;;;;;
aircraft_carriers;Carrier Decks;;;;;;;;;;;;;
carrier;Aircraft Carrier;;;;;;;;;;;;;
carriers;Carriers;;;;;;;;;;;;;
carriers_desc;An aircraft carrier is a warship that serves as a seagoing airbase, equipped with a full-length flight deck and facilities for carrying, arming, deploying, and recovering aircraft. Carriers allows a naval force to hit targets from far beyond the range of traditional guns.;;;;;;;;;;;;;
modern_naval_design;Early Modern Naval Design;;;;;;;;;;;;;
modern_naval_design_1920;Modern Naval Design;;;;;;;;;;;;;
naval_aviation;Naval Aviation;;;;;;;;;;;;;
naval_aviation_desc;Naval aviation is typically projected to a position nearer the target by way of an aircraft carrier. Carrier-based aircraft must be sturdy enough to withstand demanding carrier operations. They must be able to launch in a short distance and be sturdy and flexible enough to come to a sudden stop on a pitching flight deck; they typically have robust folding mechanisms that allow higher numbers of them to be stored in below-decks hangars and small spaces on flight decks.;;;;;;;;;;;;
modern_naval_training;Early Modern Naval Training;;;;;;;;;;;;;
modern_naval_training_1920;Modern Naval Training;;;;;;;;;;;;;
modern_naval_exercises;Modern Naval Exercises;;;;;;;;;;;;;
modern_naval_exercises_desc;Modern naval exercises evolved into detailed wargame simulations encompassing command post exercises, field exercises, and joint exercises between two or more countries.;;;;;;;;;;;;;
modern_financial_institutions;Modern Financial Institutions;;;;;;;;;;;;;
fiat_based_monetary_system;Fiat Monetary System;;;;;;;;;;;;;
keynesianism;Keynesianism;;;;;;;;;;;;;
modern_business_management;Modern Business Management;;;;;;;;;;;;;
modernism;Modernism;;;;;;;;;;;;;
mathematical_sociology;Mathematical Sociology;;;;;;;;;;;;;
critical_theory;Critical Theory;;;;;;;;;;;;;
modern_sociology;Modern Sociology;;;;;;;;;;;;;
globalized_markets;Globalized Markets;;;;;;;;;;;;;
neoliberal_theory;Neoliberal Theory;;;;;;;;;;;;;
government_mobilization;Government Mobilisation;;;;;;;;;;;;;
humanistic_psychology;Humanistic Psychology;;;;;;;;;;;;;
modern_power_generation;Modern Power Generation;;;;;;;;;;;;;
mechanized_manufacturing;Mechanised Manufacturing;;;;;;;;;;;;;
modern_metallurgy;Modern Metallurgy;;;;;;;;;;;;;
modern_infrastructure;Modern Infrastructure;;;;;;;;;;;;;
modern_chemistry;Modern Chemistry;;;;;;;;;;;;;
modern_army_doctrine_1920;Advanced Army Doctrine;;;;;;;;;;;;;
advanced_divisional_structure;Advanced Divisional Structure;;;;;;;;;;;;;
modern_naval_doctrine;Early Modern Naval Doctrine;;;;;;;;;;;;;
modern_naval_doctrine_1920;Modern Naval Doctrine;;;;;;;;;;;;;
choose_trade_good_title;§YChoose Military Goods to Send§!;;;;;;;;;;;;;
choose_trade_good_desc;Select transfer resource.;;;;;;;;;;;;;
request_trade_deal_title;§YRequest Trade Deal§!;;;;;;;;;;;;;
request_trade_deal_desc;We can request to set up a trading deal with another human controlled country. When two countries enter into a trading deal, a decision will appear for both countries that will allow them to send goods to each other directly from their stockpile. You can only have one trading partner at one time, and there can only be 15 trading agreements globally at any time.;;;;;;;;;;;;;
accept_trade_deal_1_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_1_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_2_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_2_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_3_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_3_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_4_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_4_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_5_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_5_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_6_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_6_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_7_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_7_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_8_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_8_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_9_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_9_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_10_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_10_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_11_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_11_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
