Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
WILL_GET;[EFFECTS]:\n;;;;;;;;;;;;;
POP_DOMINANT_IDEOLOGY_EFFECT;* Become 即$PERCENTAGE$劬 more 即$IDEOLOGY$劬.\n;;;;;;;;;;;;;
POP_DOMINANT_ISSUE_EFFECT;* Become 即$PERCENTAGE$劬 more in favour of 即$ISSUE$劬.\n;;;;;;;;;;;;;
INHERIT;* Inherit 即$WHO$劬.\n;;;;;;;;;;;;;
RELATION_CHANGE_SHORT;* Relation with 即$PASSIVE$劬 changed by $MUCH$.\n;;;;;;;;;;;;;
IDEOLOGY_ENABLED;* Enable 即$NAME$劬 in the world.\n;;;;;;;;;;;;;
CHANGE_NATIONALVALUE;* National value changes to 即$NATIONALVALUE$劬.\n;;;;;;;;;;;;;
ADD_ACCEPTED_CULTURE;* 即$CULTURE$劬 added as accepted culture.\n;;;;;;;;;;;;;
REMOVE_ACCEPTED_CULTURE;* 即$CULTURE$劬 removed from accepted cultures.\n;;;;;;;;;;;;;
CHANGE_RELIGION_EFFECT;* Change religion to: 即$NAME$劬.\n;;;;;;;;;;;;;
SET_SOCIAL_REFORM_EFFECT;* Social reform selected: 即$NAME$劬.\n;;;;;;;;;;;;;
SET_POLITICAL_REFORM_EFFECT;* Political reform selected: 即$NAME$劬.\n;;;;;;;;;;;;;
CHANGE_POP_TYPE_EFFECT;* Pop change to: 即$POPTYPE$劬.\n;;;;;;;;;;;;;
MOVE_POP_EFFECT;* Pop moved to 即$WHERE$劬.\n;;;;;;;;;;;;;
MODIFY_STOCKPILE_EFFECT;* 即$GOODS$劬 Stockpile changed by 即$VALUE$劬.\n;;;;;;;;;;;;;
UPPER_HOUSE_EFFECT;* $DIRECTION$ $VALUE$ $NAME$ in the upper house.\n;;;;;;;;;;;;;
SCAL_MILITANCY_EFFECT;* The % of people that $VERB$ 即$CAT$劬 $DIRECTION$ $VALUE$ Militancy.\n;;;;;;;;;;;;;
SCAL_CON_EFFECT;* The % of people that $VERB$ 即$CAT$劬 $DIRECTION$ $VALUE$ Consciousness.\n;;;;;;;;;;;;;
TREASURY_EFFECT;* $DIRECTION$ $VALUE$ ?\n;;;;;;;;;;;;;
PRESTIGE_EFFECT;* $DIRECTION$ $VALUE$ prestige.\n;;;;;;;;;;;;;
YEARS_OF_RESEARCH_EFFECT;* $DIRECTION$ $VALUE$ research points.\n;;;;;;;;;;;;;
REDUCE_POP_EFFECT;* Population size changed by $PERC$.\n;;;;;;;;;;;;;
RIP_EFFECT;* $NAME$ will become the new ruling party.\n;;;;;;;;;;;;;
CREATE_ADMIRAL_EFFECT;* Gain new 即admiral劬.\n;;;;;;;;;;;;;
CREATE_GENERAL_EFFECT;* Gain new 即general劬.\n;;;;;;;;;;;;;
RESEARCH_POINTS_EFFECT;* Gain 佈$VALUE$劬 Research Points.\n;;;;;;;;;;;;;
RENAME_PROV_EFF;* $OLD$ renamed to 即$NEW$劬.\n;;;;;;;;;;;;;
RENAME_REGION_EFF;* $OLD$ renamed to 即$NEW$劬.\n;;;;;;;;;;;;;
LITERACY_EFFECT;* $DIRECTION$ $VALUE$ (x100) literacy\n;;;;;;;;;;;;;
PLURALITY_EFFECT;* $DIRECTION$ $VALUE$ Plurality.\n;;;;;;;;;;;;;
CONSCIOUSNESS_EFFECT;* $DIRECTION$ $VALUE$ Consciousness.\n;;;;;;;;;;;;;
MILITANCY_EFFECT;* $DIRECTION$ $VALUE$ Militancy.\n;;;;;;;;;;;;;
CREATE_VASSAL_EFFECT;* 即$TARGET_COUNTRY$劬 becomes a puppet of 即$COUNTRY$劬.\n;;;;;;;;;;;;;
CAPITAL_CHANGE;* Change capital to 即$NEW$劬.\n;;;;;;;;;;;;;
NEW_CORE_EFFECT;* Gain core on 即$NEW$劬.\n;;;;;;;;;;;;;
LOSE_CORE_EFFECT;* Lose core on 即$LOSE$劬.\n;;;;;;;;;;;;;
GAIN_CB;* Gain 即$TYPE$劬 Casus-Belli against 即$WHO$劬 .\n;;;;;;;;;;;;;
REV_GAIN_CB;* 即$ACTIVE$劬 gains a 即$TYPE$劬 Casus-Belli against 即$PASSIVE$劬 .\n;;;;;;;;;;;;;
RELATION_CHANGE;* Relation between 即$ACTIVE$劬 and 即$PASSIVE$劬 changed by $MUCH$.\n;;;;;;;;;;;;;
GOV_CHANGE;* Change government to 即$GOV$劬.\n;;;;;;;;;;;;;
CHANGE_TAG;* Change country TAG to 即$NEW$劬.\n;;;;;;;;;;;;;
SECEDE_PROVINCE;* Cede 即$WHERE$劬 to 即$WHO$劬.\n;;;;;;;;;;;;;
MODIFIER_ISSUE_CHANGE_SPEED;Issue Change Speed;;;;;;;;;;;;;
ADD_SUB_UNIT_EFFECT;* Get $UNIT$ in 即$WHERE$劬.;;;;;;;;;;;;;
CHANGE_CONTROLLER_EFFECT;* 即$WHO$劬 takes control over 即$WHERE$劬.\n;;;;;;;;;;;;;
WAR_EFFECT;* Declare War on 即$WHO$劬.\n;;;;;;;;;;;;;
ALLIANCE_EFFECT;* Alliance with 即$WHO$劬.\n;;;;;;;;;;;;;
KILL_RULER_EFFECT;* Current ruler (即$NAME$劬) will die.\n;;;;;;;;;;;;;
KILL_LEADER_EFFECT;* Leader 即$NAME$劬 will die.\n;;;;;;;;;;;;;
SPAWN_EVENT;* Trigger the 即'$WHICH$'劬 event.\n;;;;;;;;;;;;;
MODIFIER_REMOVED;* Remove 即$WHAT$劬 from 即$WHERE$劬.\n;;;;;;;;;;;;;
THE_YEAR_IS_BEFORE;Year is before ;;;;;;;;;;;;;
THE_YEAR_IS_AFTER;Year is after ;;;;;;;;;;;;;
HAS_NO_TRUCE_WITH;Have NO truce with ;;;;;;;;;;;;;
HAVE_NO_UNITS_IN_BATTLE;Have NO units in battle;;;;;;;;;;;;;
HAVE_NO_UNITS_WITH_A_LEADER;Have NO units with a leader;;;;;;;;;;;;;
HAVE_N0T_ALLIANCE_WITH;NOT allied with ;;;;;;;;;;;;;
HAVE_NOT_ANY_NEIGHBOR;Have NO neighbors;;;;;;;;;;;;;
HAVE_NOT_CASUS_BELLI_AGAINST;Have NO claims against ;;;;;;;;;;;;;
EFFECT_AND;[AND];;;;;;;;;;;;;
EFFECT_MORE;[MORE];;;;;;;;;;;;;
IMMEDIATEEFFECT;Immediate Effect:$B$ \n;;;;;;;;;;;;;
IS_NOT_SUBJECT;Is NOT a subject nation;;;;;;;;;;;;;
TRIG_ISNOT;is NOT;;;;;;;;;;;;;
ALWAYS_FALSE;NEVER;;;;;;;;;;;;;
IS_NOT_IN_THE_REGION; Is NOT in the region ;;;;;;;;;;;;;
IS_IN_REGION; Is in the region ;;;;;;;;;;;;;
SHARED_PRESTIGE_TECH;Shared prestige (current);;;;;;;;;;;;;
TECH_REBEL_ORG_GAIN;Rebel power gain;;;;;;;;;;;;;
IS_NOT_RELIGION;Religion is NOT;;;;;;;;;;;;;
IS_NOT_CULTURE;Culture is NOT;;;;;;;;;;;;;
IS_CULTURE;Culture is;;;;;;;;;;;;;
HAS_NOT_TERRAIN;Terrain is NOT;;;;;;;;;;;;;
IS_NOT_OF_POPTYPE;Pop is NOT of type;;;;;;;;;;;;;
IS_NOT_SLAVE_STATE;Is NOT a slave state.;;;;;;;;;;;;;
IS_NOT_COLONIAL_STATE;Is NOT a colony;;;;;;;;;;;;;
IS_COLONIAL_STATE;Is a colony;;;;;;;;;;;;;
