Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
firepower_doctrine;Firepower Doctrine;;;;;;;;;;;;;
firepower_doctrine_desc;A doctrine of warfare that takes advantage of new types of weapons, and the ability to overwhelm an enemy with superior firepower.;;;;;;;;;;;;;
superior_mobility_doctrine;Superior Mobility Doctrine;;;;;;;;;;;;;
superior_mobility_doctrine_desc;No longer are armies reliant on horses to provide greater mobility. The invention of tanks and motorized infantry means an army's ability to outflank the enemy has greatly increased. Warfare is about to be changed forever.;;;;;;;;;;;;;
motorised_infantry;Motorized Infantry (+);;;;;;;;;;;;;
motorised_infantry_desc;Motorising infantry is the first stage towards the mechanisation of an army. Civilian trucks are readily adaptable to military uses of transporting soldiers, towing guns, and carrying equipment and supplies. This greatly increases the strategic mobility of infantry units, which would otherwise rely on marches or railroads.;;;;;;;;;;;;;
motorised_infantry_doctrine;Motorized Infantry Doctrine;;;;;;;;;;;;;
motorised_infantry_doctrine_desc;Supplying units of infantry with vehicles that could speedily transport them from one war zone to the next is the first step in the evolution of a truly modern armed forces.;;;;;;;;;;;;;
heavy_support_doctrine;Heavy Support Doctrine;;;;;;;;;;;;;
heavy_support_doctrine_desc;The addition of heavy artillery to our arsenal of weaponry means changing the way we provide attrition in war.;;;;;;;;;;;;;
siege_doctrine;Siege Doctrine;;;;;;;;;;;;;
siege_doctrine_desc;Methods of improving fortifications have improved rapidly since the days of castles and forts, thus the way we lay siege must also change.;;;;;;;;;;;;;
grand_battle_plan_doctrine;Grand Battle Plan Doctrine;;;;;;;;;;;;;
grand_battle_plan_doctrine_desc;The traditional ways of planning our battles has changed, primarily because the old ways of thinking no longer apply. Our generals must remain up-to-date, or all our advanced technology will be useless.;;;;;;;;;;;;;
superior_firepower_doctrine;Superior Firepower Doctrine;;;;;;;;;;;;;
superior_firepower_doctrine_desc;As our weapons continue to advance in strength and the ability to inflict damage, so too must our ability to take those changes into account. We must develop new doctines of warfare to compensate not only for our superior firepower, but for that of other nations.;;;;;;;;;;;;;
human_wave_doctrine;Human Wave Doctrine;;;;;;;;;;;;;
human_wave_doctrine_desc;Not every nation has the ability to field mass amounts of soldiers, poorly-equipped or no, but those that are must learn to take advantage of the 'human wave' that results. Even the most advanced defenders cannot endure an assault that simply never ends.;;;;;;;;;;;;;
spearhead_doctrine;Spearhead Doctrine;;;;;;;;;;;;;
spearhead_doctrine_desc;The increasing mobility of our armed forces means the development of a 'spearhead' maneuver which allows us to thrust our forces past the enemy's front lines, allowing them to flank and surround enemy forces before they're even aware what's happened. This is the future of armed combat.;;;;;;;;;;;;;
iron_small_arms_production;Iron Small Arms Production;;;;;;;;;;;;;
iron_small_arms_production_desc;We have developed means of producing new firearms. These should be communicated to our factories, so they may be mass-produced.;;;;;;;;;;;;;
steel_small_arms_production;Steel Small Arms Production;;;;;;;;;;;;;
steel_small_arms_production_desc;We have developed means of producing new firearms. These should be communicated to our factories, so they may be mass-produced.;;;;;;;;;;;;;
bronze_artillery_production;Bronze Artillery Production;;;;;;;;;;;;;
bronze_artillery_production_desc;We have advanced our methods of producing artillery. These must be communicated to our factories,so modern artillery may be mass-produced for our armies.;;;;;;;;;;;;;
carronade;Carronade;;;;;;;;;;;;;
