Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
YEM_colonial_company;The Aden Protectorate;;;;;;;;;;;;;
YEM_dominion;The Aden Protectorate;;;;;;;;;;;;;
GEN_ADJ;Genoese;;;;;;;;;;;;;
GEN;Genoa;;;;;;;;;;;;;
MRU_colonial_company;The Maritime Dominion;;;;;;;;;;;;;
MRU_dominion;The Maritime Dominion;;;;;;;;;;;;;
BOS_colonial_company;Bosnien-Herzegowina;;;;;;;;;;;;;
BOS_dominion;Bosnien-Herzegowina;;;;;;;;;;;;;
MLI_colonial_company;French Soudan;;;;;;;;;;;;;
MLI_dominion;French Soudan;;;;;;;;;;;;;
OMA_absolute_monarchy;Muscat-Oman;;;;;;;;;;;;;
OMA_prussian_constitutionalism;Muscat-Oman;;;;;;;;;;;;;
OMA_hms_government;Muscat-Oman;;;;;;;;;;;;;
SAR_absolute_monarchy;The Kingdom of Sardinia;;;;;;;;;;;;;
SAR_prussian_constitutionalism;The Kingdom of Sardinia;;;;;;;;;;;;;
SAR_hms_government;The Kingdom of Sardinia;;;;;;;;;;;;;
CHH_ADJ;Ponwar;;;;;;;;;;;;;
CHH;Chhatarpur;;;;;;;;;;;;;
REW_ADJ;Rewah;;;;;;;;;;;;;
REW;Rewah;;;;;;;;;;;;;
BUN_colonial_company;The Central India Agency;;;;;;;;;;;;;
BUN_dominion;The Central India Agency;;;;;;;;;;;;;
BLC_colonial_company;The Baluchistan Agency;;;;;;;;;;;;;
BLC_dominion;The Baluchistan Agency;;;;;;;;;;;;;
RAJ_colonial_company;The Rajputana Agency;;;;;;;;;;;;;
RAJ_dominion;The Rajputana Agency;;;;;;;;;;;;;
MIG_ADJ;Mingrelian;;;;;;;;;;;;;
MIG;Mingrelia;;;;;;;;;;;;;
SVA_ADJ;Svan;;;;;;;;;;;;;
SVA;Svaneti;;;;;;;;;;;;;
SLS_colonial_company;Schlesien;;;;;;;;;;;;;
SLS_dominion;Schlesien;;;;;;;;;;;;;
PML_colonial_company;Westpreußen;;;;;;;;;;;;;
PML_dominion;Westpreußen;;;;;;;;;;;;;
PZN_colonial_company;Posen;;;;;;;;;;;;;
PZN_dominion;Posen;;;;;;;;;;;;;
POL_colonial_company;Generalgouvernement;;;;;;;;;;;;;
POL_dominion;Generalgouvernement;;;;;;;;;;;;;
BOH_colonial_company;Protektorat Böhmen-Mähren;;;;;;;;;;;;;
BOH_dominion;Böhmen-Mähren;;;;;;;;;;;;;
SCH_colonial_company;Slesvig;;;;;;;;;;;;;
SCH_dominion;Slesvig;;;;;;;;;;;;;
