Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
become_GM_nation_title;§PBecome the GM Nation§!;;;;;;;;;;;;;
become_GM_nation_desc;Only click this decision if you are the GM!;;;;;;;;;;;;;
show_GM_decisions_title;§PShow GM Decisions§!;;;;;;;;;;;;;
show_GM_decisions_desc;Click to show all GM decisions;;;;;;;;;;;;;
hide_GM_decisions_title;§PHide GM Decisions§!;;;;;;;;;;;;;
hide_GM_decisions_desc;Click to hide all GM decisions;;;;;;;;;;;;;
ally_all_countries_title;§PAlly All Countries§!;;;;;;;;;;;;;
ally_all_countries_desc;Click to ally all countries in the game;;;;;;;;;;;;;
unally_all_countries_title;§PUnally All Countries§!;;;;;;;;;;;;;
unally_all_countries_desc;Click to unally all countries in the game;;;;;;;;;;;;;
get_militaryaccess_with_all_countries_title;§PGet Mil Access From All Countries§!;;;;;;;;;;;;;
get_militaryaccess_with_all_countries_desc;Click to get mil access from all countries in the game;;;;;;;;;;;;;
remove_militaryaccess_with_all_countries_title;§PRemove Mil Access From All Countries§!;;;;;;;;;;;;;
remove_militaryaccess_with_all_countries_desc;Click to remove mil access from all countries in the game;;;;;;;;;;;;;
transfer_GM_nation_title;§PTransfer GM Nation§!;;;;;;;;;;;;;
transfer_GM_nation_desc;Click to transfer the GM nation flag to a nation you don't have mil access from;;;;;;;;;;;;;
kick_players_no_milaccess_title;§PKick All Players With No Mil Access§!;;;;;;;;;;;;;
kick_players_no_milaccess_desc;Click to kick all players with no mil access in the game;;;;;;;;;;;;;
unsige_country_no_milaccess_title;§PUnsiege All Countries With No Mil Access§!;;;;;;;;;;;;;
unsige_country_no_milaccess_desc;Click to unoccupy all non-rebel occupations in countries with no mil access;;;;;;;;;;;;;
choose_country_to_siege_title;§PChoose a Country With no Mil Access to be the Occupier§!;;;;;;;;;;;;;
choose_country_to_siege_desc;Click to pick a country with no mil access to be the occupier, after clicking this a new decision will unlock allowing you to choose which countries will be sieged;;;;;;;;;;;;;
siege_country_title;§PSiege All Countries With no Mil Access to the Occupier§!;;;;;;;;;;;;;
siege_country_desc;Click this to siege all countries you do not have mil access with to the occupier you picked earlier;;;;;;;;;;;;;
GM_prevent_land_transfers_title;§PBan Land Transfers§!;;;;;;;;;;;;;
GM_prevent_land_transfers_desc;Prevents players from using all the land transfer CBs (Negotiated State, Negotiated Substate, & Third Party Transfer);;;;;;;;;;;;;
GM_allow_land_transfers_title;§PAllow Land Transfers§!;;;;;;;;;;;;;
GM_allow_land_transfers_desc;Enables players to use all the land transfer CBs (Negotiated State, Negotiated Substate, & Third Party Transfer);;;;;;;;;;;;;
GM_prevent_infamy_transfers_title;§PBan Infamy Transfers§!;;;;;;;;;;;;;
GM_prevent_infamy_transfers_desc;Prevents players from requesting infamy transfers;;;;;;;;;;;;;
GM_allow_infamy_transfers_title;§PAllow Infamy Transfers§!;;;;;;;;;;;;;
GM_allow_infamy_transfers_desc;Allows players to request infamy transfers;;;;;;;;;;;;;
GM_prevent_trade_deals_title;§PBan Trade Deals§!;;;;;;;;;;;;;
GM_prevent_trade_deals_desc;Prevent players from initiating trade deals.;;;;;;;;;;;;;
GM_allow_trade_deals_title;§PAllow Trade Deals§!;;;;;;;;;;;;;
GM_allow_trade_deals_desc;Allow players to initiate trade deals.;;;;;;;;;;;;;
GM_immunity_title;§PGM Immunity§!;;;;;;;;;;;;;
GM_immunity_desc;Grants immunity to all CBs;;;;;;;;;;;;;
GM_immunity_removal_title;§PGM Immunity Removal§!;;;;;;;;;;;;;
GM_immunity_removal_desc;Removes immunity to all CBs;;;;;;;;;;;;;
swap_country_title;§PChange Tag to the Target Country;;;;;;;;;;;
swap_country_desc;Clicking this decision will change your tag to the target country.;;;;;;;;;;;
swap_country_host_flag_yes_title;§PEnable Host Flag Following Tag Changes§!;;;;;;;;;;;
swap_country_host_flag_yes_desc;Clicking this decision will make it so when you change tag, the host nation flag will follow to the nation you swap to.;;;;;;;;;;;
swap_country_host_flag_no_title;§PDisable Host Flag Following Tag Changes§!;;;;;;;;;;;
swap_country_host_flag_no_desc;Clicking this decision will disable the host flag following your tag swaps again.;;;;;;;;;;;
select_country_to_swap_title;§PSet a Player to Tag Switch to a Target Country§!;;;;;;;;;;;
select_country_to_swap_desc;Click this decision to set a target country as the player to move to the destination tag with the next decision.;;;;;;;;;;;
select_country_to_swap_to_title;§PSet The Destination Tag to a Target Country§!;;;;;;;;;;;
select_country_to_swap_to_desc;Click this decision to set a target country as the destination tag, and move the initially selected player to said tag.;;;;;;;;;;;
reset_swap_selection_title;§PReset Tag Switch Selection§!;;;;;;;;;;;
reset_swap_selection_desc;Clicking this decision will reset the countries flagged for tag swaps.;;;;;;;;;;;
