Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
#Save The Nation;;;;;;;;;;;;;;
save_the_nation0.5;Moderate Patriotism;;;;;;;;;;;;;
save_the_nation0.5_desc;Moderate Patriotism;;;;;;;;;;;;;
save_the_nation1;Patriotism;;;;;;;;;;;;;
save_the_nation1_desc;Patriotism;;;;;;;;;;;;;
save_the_nation1.5;Moderate Naionalism;;;;;;;;;;;;;
save_the_nation1.5_desc;Moderate Nationalism;;;;;;;;;;;;;
save_the_nation2;Heightened Naionalism;;;;;;;;;;;;;
save_the_nation2_desc;Heightened Nationalism;;;;;;;;;;;;;
save_the_nation2.5;Limited Desperate Defense;;;;;;;;;;;;;
save_the_nation2.5_desc;Limited Desperate Defense;;;;;;;;;;;;;
save_the_nation3;Full Desperate Defense;;;;;;;;;;;;;
save_the_nation3_desc;Full Desperate Defense;;;;;;;;;;;;;
save_the_nation3.5;Nearing the Final Hour;;;;;;;;;;;;;
save_the_nation3.5_desc;Nearing the Final Hour;;;;;;;;;;;;;
save_the_nation4;Final Hour;;;;;;;;;;;;;
save_the_nation4_desc;Final Hour;;;;;;;;;;;;;
save_the_nation4.5;Somewhat Spiteful Resistance;;;;;;;;;;;;;
save_the_nation4.5_desc;Somewhat Spiteful Resistance;;;;;;;;;;;;;
save_the_nation5;Spiteful Resistance;;;;;;;;;;;;;
save_the_nation5_desc;Spiteful Resistance;;;;;;;;;;;;;
