Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
trade_deal_cleanup_title;Tradedeal Cleanup;;;;;;;;;;;;;
trade_deal_cleanup_desc;Clean up the tradedeals;;;;;;;;;;;;;
oil_1_settlement_title;Oil Settlement;;;;;;;;;;;;;
oil_2_settlement_title;Oil Settlement;;;;;;;;;;;;;
oil_3_settlement_title;Oil Settlement;;;;;;;;;;;;;
oil_4_settlement_title;Oil Settlement;;;;;;;;;;;;;
oil_5_settlement_title;Oil Settlement;;;;;;;;;;;;;
oil_6_settlement_title;Oil Settlement;;;;;;;;;;;;;
oil_7_settlement_title;Oil Settlement;;;;;;;;;;;;;
oil_8_settlement_title;Oil Settlement;;;;;;;;;;;;;
oil_9_settlement_title;Oil Settlement;;;;;;;;;;;;;
oil_10_settlement_title;Oil Settlement;;;;;;;;;;;;;
oil_11_settlement_title;Oil Settlement;;;;;;;;;;;;;
oil_12_settlement_title;Oil Settlement;;;;;;;;;;;;;
oil_13_settlement_title;Oil Settlement;;;;;;;;;;;;;
oil_14_settlement_title;Oil Settlement;;;;;;;;;;;;;
oil_15_settlement_title;Oil Settlement;;;;;;;;;;;;;
oil_1_settlement_desc;Settle the oil.;;;;;;;;;;;;;
oil_2_settlement_desc;Settle the oil.;;;;;;;;;;;;;
oil_3_settlement_desc;Settle the oil.;;;;;;;;;;;;;
oil_4_settlement_desc;Settle the oil.;;;;;;;;;;;;;
oil_5_settlement_desc;Settle the oil.;;;;;;;;;;;;;
oil_6_settlement_desc;Settle the oil.;;;;;;;;;;;;;
oil_7_settlement_desc;Settle the oil.;;;;;;;;;;;;;
oil_8_settlement_desc;Settle the oil.;;;;;;;;;;;;;
oil_9_settlement_desc;Settle the oil.;;;;;;;;;;;;;
oil_10_settlement_desc;Settle the oil.;;;;;;;;;;;;;
oil_11_settlement_desc;Settle the oil.;;;;;;;;;;;;;
oil_12_settlement_desc;Settle the oil.;;;;;;;;;;;;;
oil_13_settlement_desc;Settle the oil.;;;;;;;;;;;;;
oil_14_settlement_desc;Settle the oil.;;;;;;;;;;;;;
oil_15_settlement_desc;Settle the oil.;;;;;;;;;;;;;
coal_1_settlement_title;coal Settlement;;;;;;;;;;;;;
coal_2_settlement_title;coal Settlement;;;;;;;;;;;;;
coal_3_settlement_title;coal Settlement;;;;;;;;;;;;;
coal_4_settlement_title;coal Settlement;;;;;;;;;;;;;
coal_5_settlement_title;coal Settlement;;;;;;;;;;;;;
coal_6_settlement_title;coal Settlement;;;;;;;;;;;;;
coal_7_settlement_title;coal Settlement;;;;;;;;;;;;;
coal_8_settlement_title;coal Settlement;;;;;;;;;;;;;
coal_9_settlement_title;coal Settlement;;;;;;;;;;;;;
coal_10_settlement_title;coal Settlement;;;;;;;;;;;;;
coal_11_settlement_title;coal Settlement;;;;;;;;;;;;;
coal_12_settlement_title;coal Settlement;;;;;;;;;;;;;
coal_13_settlement_title;coal Settlement;;;;;;;;;;;;;
coal_14_settlement_title;coal Settlement;;;;;;;;;;;;;
coal_15_settlement_title;coal Settlement;;;;;;;;;;;;;
coal_1_settlement_desc;Settle the coal.;;;;;;;;;;;;;
coal_2_settlement_desc;Settle the coal.;;;;;;;;;;;;;
coal_3_settlement_desc;Settle the coal.;;;;;;;;;;;;;
coal_4_settlement_desc;Settle the coal.;;;;;;;;;;;;;
coal_5_settlement_desc;Settle the coal.;;;;;;;;;;;;;
coal_6_settlement_desc;Settle the coal.;;;;;;;;;;;;;
coal_7_settlement_desc;Settle the coal.;;;;;;;;;;;;;
coal_8_settlement_desc;Settle the coal.;;;;;;;;;;;;;
coal_9_settlement_desc;Settle the coal.;;;;;;;;;;;;;
coal_10_settlement_desc;Settle the coal.;;;;;;;;;;;;;
coal_11_settlement_desc;Settle the coal.;;;;;;;;;;;;;
coal_12_settlement_desc;Settle the coal.;;;;;;;;;;;;;
coal_13_settlement_desc;Settle the coal.;;;;;;;;;;;;;
coal_14_settlement_desc;Settle the coal.;;;;;;;;;;;;;
coal_15_settlement_desc;Settle the coal.;;;;;;;;;;;;;
iron_1_settlement_title;iron Settlement;;;;;;;;;;;;;
iron_2_settlement_title;iron Settlement;;;;;;;;;;;;;
