Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
populationsize_below_1M;Population below 1 Million;;;;;;;;;;;;;
populationsize_below_1M_desc;Our population is below 1.000.000 people.;;;;;;;;;;;;;
populationsize_1M_to_3M;Population 1 to 3 Million;;;;;;;;;;;;;
populationsize_1M_to_3M _desc;Our population has reached 1.000.000 people but not 3.000.000.;;;;;;;;;;;;;
populationsize_5M;Population 5 Million;;;;;;;;;;;;;
populationsize_5M_desc;Our population has reached 5.000.000 people.;;;;;;;;;;;;;
populationsize_10M;Population 10 Million;;;;;;;;;;;;;
populationsize_10M_desc;Our population has reached 10.000.000 people.;;;;;;;;;;;;;
populationsize_25M;Population 25 Million;;;;;;;;;;;;;
populationsize_25M_desc;Our population has reached 25.000.000 people.;;;;;;;;;;;;;
populationsize_50M;Population 50 Million;;;;;;;;;;;;;
populationsize_50M_desc;Our population has reached 50.000.000 people.;;;;;;;;;;;;;
populationsize_100M;Population 100 Million;;;;;;;;;;;;;
populationsize_100M_desc;Our population has reached 100.000.000 people.;;;;;;;;;;;;;
populationsize_200M;Population 200 Million;;;;;;;;;;;;;
populationsize_200M_desc;Our population has reached 200.000.000 people.;;;;;;;;;;;;;
populationsize_300M;Population 300 Million;;;;;;;;;;;;;
populationsize_300M_desc;Our population has reached 300.000.000 people.;;;;;;;;;;;;;
populationsize_500M;Population 500 Million;;;;;;;;;;;;;
populationsize_500M_desc;Our population has reached 500.000.000 people.;;;;;;;;;;;;;
