From;To;Type;Through;Data;Comment

#
# European River Crossings (-2)
#
415;416;sea;;0;The Seine River
2570;416;sea;;0;The Seine River
2570;425;sea;;0;The Seine River
403;425;sea;;0;The Seine River
403;427;sea;;0;The Seine River
429;427;sea;;0;The Seine River
406;408;sea;;0;The Seine River
970;965;sea;;0;The Dnieper River
971;973;sea;;0;The Dnieper River
972;973;sea;;0;The Dnieper River
972;974;sea;;0;The Dnieper River
972;963;sea;;0;The Dnieper River
971;963;sea;;0;The Dnieper River
961;963;sea;;0;The Dnieper River
961;962;sea;;0;The Dnieper River
958;962;sea;;0;The Dnieper River
959;962;sea;;0;The Dnieper River
942;962;sea;;0;The Dnieper River
942;949;sea;;0;The Dnieper River
942;948;sea;;0;The Dnieper River
948;941;sea;;0;The Dnieper River
948;718;sea;;0;The Dnieper River
946;718;sea;;0;The Dauguva River
946;947;sea;;0;The Dauguva River
365;947;sea;;0;The Dauguva River
357;355;sea;;0;The Dauguva River
357;354;sea;;0;The Dauguva River
690;695;sea;;0;The Vistula River
693;690;sea;;0;The Vistula River
693;691;sea;;0;The Vistula River
694;710;sea;;0;The Vistula River
694;691;sea;;0;The Vistula River
694;700;sea;;0;The Vistula River
708;710;sea;;0;The Vistula River
708;706;sea;;0;The Vistula River
709;706;sea;;0;The Vistula River
711;706;sea;;0;The Vistula River
711;713;sea;;0;The Vistula River
715;713;sea;;0;The Vistula River
705;713;sea;;0;The Vistula River
705;716;sea;;0;The Vistula River
716;714;sea;;0;The Vistula River
703;714;sea;;0;The Vistula River
2584;703;sea;;0;The Vistula River
678;675;sea;;0;The Danube River
673;675;sea;;0;The Danube River
668;675;sea;;0;The Danube River
669;675;sea;;0;The Danube River
669;674;sea;;0;The Danube River
669;818;sea;;0;The Danube River
818;664;sea;;0;The Danube River
664;811;sea;;0;The Danube River
664;810;sea;;0;The Danube River
666;810;sea;;0;The Danube River
795;666;sea;;0;The Danube River
665;795;sea;;0;The Danube River
653;795;sea;;0;The Danube River
792;795;sea;;0;The Danube River
792;794;sea;;0;The Danube River
792;791;sea;;0;The Danube River
2538;791;sea;;0;The Danube River
2538;793;sea;;0;The Danube River
2538;779;sea;;0;The Danube River
2538;640;sea;;0;The Danube River
640;645;sea;;0;The Danube River
645;644;sea;;0;The Danube River
645;643;sea;;0;The Danube River
643;641;sea;;0;The Danube River
641;642;sea;;0;The Danube River
646;642;sea;;0;The Danube River
642;635;sea;;0;The Danube River
635;623;sea;;0;The Danube River
623;633;sea;;0;The Danube River
633;624;sea;;0;The Danube River
619;624;sea;;0;The Danube River
620;619;sea;;0;The Danube River
621;620;sea;;0;The Danube River
620;622;sea;;0;The Danube River
622;613;sea;;0;The Danube River
622;617;sea;;0;The Danube River
600;599;sea;;0;The Danube River
461;467;sea;;0;The Rhone River
467;449;sea;;0;The Rhone River
468;449;sea;;0;The Rhone River
468;453;sea;;0;The Rhone River
453;469;sea;;0;The Rhone River
453;451;sea;;0;The Rhone River
454;453;sea;;0;The Rhone River
451;452;sea;;0;The Rhone River
431;451;sea;;0;The Rhone River
1084;1083;sea;;0;The Amur River
1083;2617;sea;;0;The Amur River
2617;1554;sea;;0;The Amur River
